ano,piloto,equipe,pais
1950,Giuseppe Farina,Alfa Romeo,Itália
1951,Juan Manuel Fangio,Alfa Romeo,Argentina
1952,Alberto Ascari,Ferrari,Itália
1953,Alberto Ascari,Ferrari,Itália
1954,Juan Manuel Fangio,Mercedes,Argentina
1955,Juan Manuel Fangio,Mercedes,Argentina
1956,Juan Manuel Fangio,Ferrari,Argentina
1957,Juan Manuel Fangio,Maserati,Argentina
1958,Mike Hawthorn,Ferrari,Reino Unido
1959,Jack Brabham,Cooper,Austrália
1960,Jack Brabham,Cooper,Austrália
1961,Phil Hill,Ferrari,Estados Unidos
1962,Graham Hill,BRM,Reino Unido
1963,Jim Clark,Lotus,Reino Unido
1964,John Surtees,Ferrari,Reino Unido
1965,Jim Clark,Lotus,Reino Unido
1966,Jack Brabham,Brabham,Austrália
1967,Denny Hulme,Brabham,Nova Zelândia
1968,Graham Hill,Lotus,Reino Unido
1969,Jackie Stewart,Matra,Reino Unido
1970,Jochen Rindt,Lotus,Áustria
1971,Jackie Stewart,Tyrrell,Reino Unido
1972,Emerson Fittipaldi,Lotus,Brasil
1973,Jackie Stewart,Tyrrell,Reino Unido
1974,Emerson Fittipaldi,McLaren,Brasil
1975,Niki Lauda,Ferrari,Áustria
1976,James Hunt,McLaren,Reino Unido
1977,Niki Lauda,Ferrari,Áustria
1978,Mario Andretti,Lotus,Estados Unidos
1979,Jody Scheckter,Ferrari,África do Sul
1980,Alan Jones,Williams,Austrália
1981,Nelson Piquet,Brabham,Brasil
1982,Keke Rosberg,Williams,Finlândia
1983,Nelson Piquet,Brabham,Brasil
1984,Niki Lauda,McLaren,Áustria
1985,Alain Prost,McLaren,França
1986,Alain Prost,McLaren,França
1987,Nelson Piquet,Williams,Brasil
1988,Ayrton Senna,McLaren,Brasil
1989,Alain Prost,McLaren,França
1990,Ayrton Senna,McLaren,Brasil
1991,Ayrton Senna,McLaren,Brasil
1992,Nigel Mansell,Williams,Reino Unido
1993,Alain Prost,Williams,França
1994,Michael Schumacher,Benetton,Alemanha
1995,Michael Schumacher,Benetton,Alemanha
1996,Damon Hill,Williams,Reino Unido
1997,Jacques Villeneuve,Williams,Canadá
1998,Mika Häkkinen,McLaren,Finlândia
1999,Mika Häkkinen,McLaren,Finlândia
2000,Michael Schumacher,Ferrari,Alemanha
2001,Michael Schumacher,Ferrari,Alemanha
2002,Michael Schumacher,Ferrari,Alemanha
2003,Michael Schumacher,Ferrari,Alemanha
2004,Michael Schumacher,Ferrari,Alemanha
2005,Fernando Alonso,Renault,Espanha
2006,Fernando Alonso,Renault,Espanha
2007,Kimi Räikkönen,Ferrari,Finlândia
2008,Lewis Hamilton,McLaren,Reino Unido
2009,Jenson Button,Brawn,Reino Unido
2010,Sebastian Vettel,Red Bull,Alemanha
2011,Sebastian Vettel,Red Bull,Alemanha
2012,Sebastian Vettel,Red Bull,Alemanha
2013,Sebastian Vettel,Red Bull,Alemanha
2014,Lewis Hamilton,Mercedes,Reino Unido
2015,Lewis Hamilton,Mercedes,Reino Unido
2016,Nico Rosberg,Mercedes,Alemanha
2017,Lewis Hamilton,Mercedes,Reino Unido
2018,Lewis Hamilton,Mercedes,Reino Unido
2019,Lewis Hamilton,Mercedes,Reino Unido
2020,Lewis Hamilton,Mercedes,Reino Unido
2021,Max Verstappen,Red Bull,Países Baixos
2022,Max Verstappen,Red Bull,Países Baixos
2023,Max Verstappen,Red Bull,Países Baixos
2024,Max Verstappen,Red Bull,Países Baixos
2025,Lando Norris,McLaren,Reino Unido
