ano,equipe
1964,Ferrari
1975,Ferrari
1976,Ferrari
1977,Ferrari
1979,Ferrari
1982,Ferrari
1983,Ferrari
1999,Ferrari
2000,Ferrari
2001,Ferrari
2002,Ferrari
2003,Ferrari
2004,Ferrari
2007,Ferrari
2008,Ferrari
1974,McLaren
1984,McLaren
1985,McLaren
1988,McLaren
1989,McLaren
1990,McLaren
1991,McLaren
1998,McLaren
2024,McLaren
2025,McLaren
1980,Williams
1981,Williams
1986,Williams
1987,Williams
1992,Williams
1993,Williams
1994,Williams
1996,Williams
1997,Williams
2014,Mercedes
2015,Mercedes
2016,Mercedes
2017,Mercedes
2018,Mercedes
2019,Mercedes
2020,Mercedes
2021,Mercedes
1963,Lotus
1965,Lotus
1968,Lotus
1970,Lotus
1972,Lotus
1973,Lotus
1978,Lotus
2010,Red Bull
2011,Red Bull
2012,Red Bull
2013,Red Bull
2022,Red Bull
2023,Red Bull
1966,Brabham
1967,Brabham
1959,Cooper
1960,Cooper
2005,Renault
2006,Renault
1995,Benetton
2009,Brawn GP
1962,BRM
1969,Matra
1971,Tyrrell
2026,Mercedes
