equipe,pais,estreia,ultima_corrida,titulos_construtores,titulos_pilotos,vitorias,corridas,pilotos_iconicos
Ferrari,Itália,1950,2026,16,15,251,1134,"Michael Schumacher, Niki Lauda, Kimi Räikkönen, Sebastian Vettel"
McLaren,Reino Unido,1966,2026,10,13,204,1005,"Ayrton Senna, Alain Prost, Lewis Hamilton, Mika Häkkinen"
Mercedes,Alemanha,1954,2026,8,9,139,351,"Juan Manuel Fangio, Lewis Hamilton, Michael Schumacher, Nico Rosberg"
Williams,Reino Unido,1977,2026,9,7,114,862,"Nigel Mansell, Alain Prost, Damon Hill, Jacques Villeneuve"
Red Bull,Áustria,2005,2026,6,8,130,429,"Sebastian Vettel, Max Verstappen, Daniel Ricciardo"
Lotus,Reino Unido,1958,1994,7,6,79,493,"Jim Clark, Graham Hill, Mario Andretti, Ayrton Senna"
Brabham,Austrália,1962,1992,2,4,35,402,"Jack Brabham, Nelson Piquet, Denny Hulme"
Cooper,Reino Unido,1950,1969,2,2,16,129,"Jack Brabham, Stirling Moss, Bruce McLaren"
Renault,França,1977,2020,2,2,35,403,"Fernando Alonso, Alain Prost, René Arnoux"
Benetton,Reino Unido,1986,2001,1,2,27,260,"Michael Schumacher, Nelson Piquet, Gerhard Berger"
