Corrida,Vencedor,Equipe,Temporada
Bahrain GP,Verstappen,Red Bull,2023
Saudi Arabian GP,Perez,Red Bull,2023
Australian GP,Verstappen,Red Bull,2023
Azerbaijan GP,Perez,Red Bull,2023
Miami GP,Verstappen,Red Bull,2023
Monaco GP,Verstappen,Red Bull,2023
Spanish GP,Verstappen,Red Bull,2023
Canadian GP,Verstappen,Red Bull,2023
Austrian GP,Verstappen,Red Bull,2023
British GP,Verstappen,Red Bull,2023
Hungarian GP,Verstappen,Red Bull,2023
Belgian GP,Verstappen,Red Bull,2023
Dutch GP,Verstappen,Red Bull,2023
Italian GP,Verstappen,Red Bull,2023
Singapore GP,Sainz,Ferrari,2023
Japanese GP,Verstappen,Red Bull,2023
Qatar GP,Verstappen,Red Bull,2023
United States GP,Verstappen,Red Bull,2023
Mexico City GP,Verstappen,Red Bull,2023
Sao Paulo GP,Verstappen,Red Bull,2023
Las Vegas GP,Verstappen,Red Bull,2023
Abu Dhabi GP,Verstappen,Red Bull,2023
Bahrain GP,Leclerc,Ferrari,2022
Saudi Arabian GP,Verstappen,Red Bull,2022
Australian GP,Leclerc,Ferrari,2022
Emilia Romagna GP,Verstappen,Red Bull,2022
Miami GP,Verstappen,Red Bull,2022
Spanish GP,Verstappen,Red Bull,2022
Monaco GP,Perez,Red Bull,2022
Azerbaijan GP,Verstappen,Red Bull,2022
Canadian GP,Verstappen,Red Bull,2022
British GP,Sainz,Ferrari,2022
Austrian GP,Leclerc,Ferrari,2022
French GP,Verstappen,Red Bull,2022
Hungarian GP,Verstappen,Red Bull,2022
Belgian GP,Verstappen,Red Bull,2022
Dutch GP,Verstappen,Red Bull,2022
Italian GP,Verstappen,Red Bull,2022
Singapore GP,Perez,Red Bull,2022
Japanese GP,Verstappen,Red Bull,2022
United States GP,Verstappen,Red Bull,2022
Mexico City GP,Verstappen,Red Bull,2022
Sao Paulo GP,Russell,Mercedes,2022
Abu Dhabi GP,Verstappen,Red Bull,2022
Bahrain GP,Hamilton,Mercedes,2021
Emilia Romagna GP,Verstappen,Red Bull,2021
Portuguese GP,Hamilton,Mercedes,2021
Spanish GP,Hamilton,Mercedes,2021
Monaco GP,Verstappen,Red Bull,2021
Azerbaijan GP,Perez,Red Bull,2021
French GP,Verstappen,Red Bull,2021
Styrian GP,Verstappen,Red Bull,2021
Austrian GP,Verstappen,Red Bull,2021
British GP,Hamilton,Mercedes,2021
Hungarian GP,Ocon,Alpine,2021
Belgian GP,Verstappen,Red Bull,2021
Dutch GP,Verstappen,Red Bull,2021
Italian GP,Ricciardo,McLaren,2021
Russian GP,Hamilton,Mercedes,2021
Turkish GP,Bottas,Mercedes,2021
United States GP,Verstappen,Red Bull,2021
Mexico City GP,Verstappen,Red Bull,2021
Sao Paulo GP,Hamilton,Mercedes,2021
Qatar GP,Hamilton,Mercedes,2021
Saudi Arabian GP,Hamilton,Mercedes,2021
Abu Dhabi GP,Verstappen,Red Bull,2021
