ano,piloto,pais
1950,Giuseppe Farina,Itália
1951,Juan Manuel Fangio,Argentina
1952,Alberto Ascari,Itália
1953,Alberto Ascari,Itália
1954,Juan Manuel Fangio,Argentina
1955,Juan Manuel Fangio,Argentina
1956,Juan Manuel Fangio,Argentina
1957,Juan Manuel Fangio,Argentina
1958,Mike Hawthorn,Reino Unido
1959,Jack Brabham,Austrália
1960,Jack Brabham,Austrália
1961,Phil Hill,Estados Unidos
1962,Graham Hill,Reino Unido
1963,Jim Clark,Reino Unido
1964,John Surtees,Reino Unido
1965,Jim Clark,Reino Unido
1966,Jack Brabham,Austrália
1967,Denny Hulme,Nova Zelândia
1968,Graham Hill,Reino Unido
1969,Jackie Stewart,Reino Unido
1970,Jochen Rindt,Áustria
1971,Jackie Stewart,Reino Unido
1972,Emerson Fittipaldi,Brasil
1973,Jackie Stewart,Reino Unido
1974,Emerson Fittipaldi,Brasil
1975,Niki Lauda,Áustria
1976,James Hunt,Reino Unido
1977,Niki Lauda,Áustria
1978,Mario Andretti,Estados Unidos
1979,Jody Scheckter,África do Sul
1980,Alan Jones,Austrália
1981,Nelson Piquet,Brasil
1982,Keke Rosberg,Finlândia
1983,Nelson Piquet,Brasil
1984,Niki Lauda,Áustria
1985,Alain Prost,França
1986,Alain Prost,França
1987,Nelson Piquet,Brasil
1988,Ayrton Senna,Brasil
1989,Alain Prost,França
1990,Ayrton Senna,Brasil
1991,Ayrton Senna,Brasil
1992,Nigel Mansell,Reino Unido
1993,Alain Prost,França
1994,Michael Schumacher,Alemanha
1995,Michael Schumacher,Alemanha
1996,Damon Hill,Reino Unido
1997,Jacques Villeneuve,Canadá
1998,Mika Häkkinen,Finlândia
1999,Mika Häkkinen,Finlândia
2000,Michael Schumacher,Alemanha
2001,Michael Schumacher,Alemanha
2002,Michael Schumacher,Alemanha
2003,Michael Schumacher,Alemanha
2004,Michael Schumacher,Alemanha
2005,Fernando Alonso,Espanha
2006,Fernando Alonso,Espanha
2007,Kimi Räikkönen,Finlândia
2008,Lewis Hamilton,Reino Unido
2009,Jenson Button,Reino Unido
2010,Sebastian Vettel,Alemanha
2011,Sebastian Vettel,Alemanha
2012,Sebastian Vettel,Alemanha
2013,Sebastian Vettel,Alemanha
2014,Lewis Hamilton,Reino Unido
2015,Lewis Hamilton,Reino Unido
2016,Nico Rosberg,Alemanha
2017,Lewis Hamilton,Reino Unido
2018,Lewis Hamilton,Reino Unido
2019,Lewis Hamilton,Reino Unido
2020,Lewis Hamilton,Reino Unido
2021,Max Verstappen,Países Baixos
2022,Max Verstappen,Países Baixos
2023,Max Verstappen,Países Baixos
2024,Max Verstappen,Países Baixos
2025,Lando Norris,Reino Unido
